Day,Total,categories
13-01-2024,228,Shoes
14-01-2024,256,Shoes
15-01-2024,196,Shoes
16-01-2024,202,Shoes
17-01-2024,180,Shoes
18-01-2024,211,Shoes
19-01-2024,205,Shoes
20-01-2024,208,Shoes
21-01-2024,244,Shoes
22-01-2024,191,Shoes
23-01-2024,161,Shoes
24-01-2024,183,Shoes
25-01-2024,206,Shoes
26-01-2024,200,Shoes
27-01-2024,182,Shoes
28-01-2024,243,Shoes
29-01-2024,164,Shoes
30-01-2024,152,Shoes
31-01-2024,175,Shoes
01-02-2024,199,Shoes
02-02-2024,169,Shoes
03-02-2024,179,Shoes
04-02-2024,236,Shoes
05-02-2024,161,Shoes
06-02-2024,164,Shoes
07-02-2024,176,Shoes
08-02-2024,162,Shoes
09-02-2024,165,Shoes
10-02-2024,191,Shoes
11-02-2024,218,Shoes
12-02-2024,157,Shoes
13-02-2024,141,Shoes
14-02-2024,151,Shoes
15-02-2024,140,Shoes
16-02-2024,125,Shoes
17-02-2024,162,Shoes
18-02-2024,209,Shoes
19-02-2024,157,Shoes
20-02-2024,134,Shoes
21-02-2024,112,Shoes
22-02-2024,121,Shoes
23-02-2024,128,Shoes
24-02-2024,157,Shoes
25-02-2024,191,Shoes
26-02-2024,146,Shoes
27-02-2024,156,Shoes
28-02-2024,135,Shoes
29-02-2024,135,Shoes
01-03-2024,148,Shoes
02-03-2024,166,Shoes
03-03-2024,211,Shoes
04-03-2024,149,Shoes
05-03-2024,150,Shoes
06-03-2024,151,Shoes
07-03-2024,129,Shoes
08-03-2024,162,Shoes
09-03-2024,152,Shoes
10-03-2024,185,Shoes
11-03-2024,133,Shoes
12-03-2024,137,Shoes
13-03-2024,132,Shoes
14-03-2024,125,Shoes
15-03-2024,118,Shoes
16-03-2024,158,Shoes
17-03-2024,202,Shoes
18-03-2024,135,Shoes
19-03-2024,151,Shoes
20-03-2024,123,Shoes
21-03-2024,155,Shoes
22-03-2024,120,Shoes
23-03-2024,138,Shoes
24-03-2024,189,Shoes
25-03-2024,144,Shoes
26-03-2024,145,Shoes
27-03-2024,133,Shoes
28-03-2024,143,Shoes
29-03-2024,165,Shoes
30-03-2024,166,Shoes
31-03-2024,194,Shoes
01-04-2024,138,Shoes
02-04-2024,174,Shoes
03-04-2024,125,Shoes
04-04-2024,152,Shoes
05-04-2024,167,Shoes
06-04-2024,162,Shoes
07-04-2024,216,Shoes
08-04-2024,146,Shoes
09-04-2024,203,Shoes
10-04-2024,173,Shoes
11-04-2024,157,Shoes
12-04-2024,157,Shoes
13-04-2024,149,Shoes
14-04-2024,178,Shoes
15-04-2024,111,Shoes
16-04-2024,124,Shoes
17-04-2024,142,Shoes
18-04-2024,143,Shoes
19-04-2024,120,Shoes
20-04-2024,139,Shoes
21-04-2024,149,Shoes
22-04-2024,126,Shoes
23-04-2024,119,Shoes
24-04-2024,132,Shoes
25-04-2024,132,Shoes
26-04-2024,113,Shoes
27-04-2024,127,Shoes
28-04-2024,153,Shoes
29-04-2024,124,Shoes
30-04-2024,131,Shoes
01-05-2024,145,Shoes
02-05-2024,144,Shoes
03-05-2024,110,Shoes
04-05-2024,101,Shoes
05-05-2024,162,Shoes
06-05-2024,125,Shoes
07-05-2024,116,Shoes
08-05-2024,109,Shoes
09-05-2024,107,Shoes
10-05-2024,136,Shoes
11-05-2024,121,Shoes
12-05-2024,144,Shoes
13-05-2024,112,Shoes
14-05-2024,92,Shoes
15-05-2024,107,Shoes
16-05-2024,103,Shoes
17-05-2024,119,Shoes
18-05-2024,104,Shoes
19-05-2024,122,Shoes
20-05-2024,130,Shoes
21-05-2024,127,Shoes
22-05-2024,111,Shoes
23-05-2024,120,Shoes
24-05-2024,129,Shoes
25-05-2024,143,Shoes
26-05-2024,147,Shoes
27-05-2024,104,Shoes
28-05-2024,134,Shoes
29-05-2024,121,Shoes
30-05-2024,126,Shoes
31-05-2024,133,Shoes
01-01-2024,113,Men's Accessories
02-01-2024,108,Men's Accessories
03-01-2024,99,Men's Accessories
04-01-2024,99,Men's Accessories
05-01-2024,100,Men's Accessories
06-01-2024,112,Men's Accessories
07-01-2024,124,Men's Accessories
08-01-2024,102,Men's Accessories
09-01-2024,101,Men's Accessories
10-01-2024,109,Men's Accessories
11-01-2024,94,Men's Accessories
12-01-2024,101,Men's Accessories
13-01-2024,120,Men's Accessories
14-01-2024,124,Men's Accessories
15-01-2024,110,Men's Accessories
16-01-2024,106,Men's Accessories
17-01-2024,97,Men's Accessories
18-01-2024,109,Men's Accessories
19-01-2024,108,Men's Accessories
20-01-2024,106,Men's Accessories
21-01-2024,112,Men's Accessories
22-01-2024,96,Men's Accessories
23-01-2024,92,Men's Accessories
24-01-2024,95,Men's Accessories
25-01-2024,92,Men's Accessories
26-01-2024,109,Men's Accessories
27-01-2024,101,Men's Accessories
28-01-2024,108,Men's Accessories
29-01-2024,97,Men's Accessories
30-01-2024,95,Men's Accessories
31-01-2024,100,Men's Accessories
01-02-2024,98,Men's Accessories
